序号,模块,推荐规格或参考型号,数量,目标单价下限元,目标单价上限元,阶段,是否必选,采购备注
1,迷你主机,"x86-64；Ryzen 7 8845HS/Ryzen 9 8945HS或Intel i7同级；32GB DDR5；1TB NVMe；双2.5GbE；Windows 11 Pro",1,3200,4200,V0.1,是,"预留USB-A给ETAP加密锁；拒绝N100/N150"
2,触摸屏,"15.6英寸；IPS；1920x1080；10点电容触控；HDMI+USB；钢化玻璃",1,800,1200,V0.1,是,"优先可拆外壳/VESA；亮度不低于300nit"
3,航空箱与面板,"16-17英寸铝合金手提箱；2mm激光切割铝面板；丝印或UV打印",1,600,1000,V0.1,是,"上盖嵌屏；下层隐藏主机；留检修盖"
4,隔离USB-RS485,"FT232RNL/FT2232；2kV以上隔离；TVS/ESD/浪涌；端子型；自动方向控制",1,80,180,V0.1,是,"不可采购无隔离廉价小板"
5,Modbus模拟器,"RP2040或ESP32；隔离RS485；模拟三相电压电流负载率寄存器",1,100,250,V0.1,是,"仅5V/12V安全低压演示"
6,实体交互板,"RP2040 USB-HID；旋钮；3个带灯按键；三色状态灯；可关闭蜂鸣器",1,150,300,V0.1,是,"不参与电气计算；故障不影响主系统"
7,有源USB Hub,"金属壳；4口以上；独立供电；固定安装",1,100,250,V0.1,是,"为触摸、RS485、交互板和加密锁留口"
8,DC UPS,"支持19V和12V输出；续航10-20分钟；支持安全关机",1,300,600,V0.1,否,"预算紧可第二轮加装"
9,电源与保护,"IEC带保险总开关；漏保插头；内部插座模块；原厂适配器",1,200,400,V0.1,是,"首版不自制220V AC-DC电源板"
10,散热,"8cm静音风扇2只；防尘网；风道隔离",1,80,180,V0.1,是,"连续8小时压力测试"
11,线材与端子,"HDMI；USB；网线；航空插头；冷压端子；热缩管；标签",1,300,500,V0.1,是,"所有外部接口和内部线束标号"
12,外接采集箱,"ADL400N-CT或ADL400；3只开口CT；DIN导轨箱；微断；熔断器；RS485",1,800,1800,V0.2,否,"由具备资质电工接线；主机只接隔离RS485"
13,4G工业路由器,"4G Cat4；双网口；看门狗；VPN；9-36V宽压",1,300,800,V0.2,否,"首版Wi-Fi/有线/热点足够"
14,工业级串口转换器,"Moxa UPort 1150I或同级；RS232/422/485；2kV隔离",1,900,1600,V0.2,否,"现场PoC再升级"
